"Tên sản phẩm","Danh mục","Thương hiệu","Giá bán (VNĐ)","Giá khuyến mãi (VNĐ)","Số lượng tồn kho","Mô tả sản phẩm","Thông số kỹ thuật","Hình ảnh sản phẩm","Ảnh phụ (Gallery)","Thẻ (Tags)","Bảo hành"
"Màn hình NVIDIA Model 6512B","Màn hình",NVIDIA,4760000,,48,"Sản phẩm Màn hình NVIDIA Model 6512B chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, NVIDIA, New","1 năm"
"Chuột Kingston Model C20AD",Chuột,Kingston,3750000,,12,"Sản phẩm Chuột Kingston Model C20AD chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 5348, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Kingston, New","3 năm"
"Chuột Gigabyte Model C51CE",Chuột,Gigabyte,4340000,,21,"Sản phẩm Chuột Gigabyte Model C51CE chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 14761, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Gigabyte, New","1 năm"
"Bàn phím NVIDIA Model AAB32","Bàn phím",NVIDIA,870000,783000,12,"Sản phẩm Bàn phím NVIDIA Model AAB32 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, NVIDIA, New","2 năm"
"Màn hình MSI Model 9BF31","Màn hình",MSI,2840000,2556000,42,"Sản phẩm Màn hình MSI Model 9BF31 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, MSI, New","3 năm"
"Chuột Samsung Model C74D9",Chuột,Samsung,2550000,2295000,48,"Sản phẩm Chuột Samsung Model C74D9 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 7764, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Samsung, New","3 năm"
"Tai nghe Intel Model 70EFD","Tai nghe",Intel,2780000,,23,"Sản phẩm Tai nghe Intel Model 70EFD chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: In-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Intel, New","2 năm"
"Loa Corsair Model 6F492",Loa,Corsair,3210000,2889000,8,"Sản phẩm Loa Corsair Model 6F492 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 52W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Corsair, New","1 năm"
"Màn hình Gigabyte Model 1F0E3","Màn hình",Gigabyte,720000,,40,"Sản phẩm Màn hình Gigabyte Model 1F0E3 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, Gigabyte, New","3 năm"
"Chuột Logitech Model 98F13",Chuột,Logitech,4720000,,19,"Sản phẩm Chuột Logitech Model 98F13 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 4536, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Logitech, New","1 năm"
"Tai nghe AMD Model 3C59D","Tai nghe",AMD,2550000,2295000,39,"Sản phẩm Tai nghe AMD Model 3C59D chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, AMD, New","3 năm"
"Màn hình Logitech Model B6D76","Màn hình",Logitech,770000,693000,7,"Sản phẩm Màn hình Logitech Model B6D76 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 144Hz, Tấm nền: IPS",,,"Màn hình, Logitech, New","3 năm"
"Tai nghe Logitech Model 37693","Tai nghe",Logitech,1020000,,45,"Sản phẩm Tai nghe Logitech Model 37693 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Logitech, New","1 năm"
"Tai nghe Kingston Model 1FF1D","Tai nghe",Kingston,3300000,2970000,24,"Sản phẩm Tai nghe Kingston Model 1FF1D chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: In-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Kingston, New","1 năm"
"Màn hình AMD Model 8E296","Màn hình",AMD,4380000,3942000,8,"Sản phẩm Màn hình AMD Model 8E296 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 24 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, AMD, New","3 năm"
"Chuột Kingston Model 4E732",Chuột,Kingston,650000,,28,"Sản phẩm Chuột Kingston Model 4E732 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 10233, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Kingston, New","2 năm"
"Chuột AMD Model 02E74",Chuột,AMD,2450000,2205000,33,"Sản phẩm Chuột AMD Model 02E74 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 14524, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, AMD, New","1 năm"
"Màn hình AMD Model 33E75","Màn hình",AMD,3900000,3510000,14,"Sản phẩm Màn hình AMD Model 33E75 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, AMD, New","1 năm"
"Bàn phím ASUS Model 6EA9A","Bàn phím",ASUS,1290000,,13,"Sản phẩm Bàn phím ASUS Model 6EA9A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, ASUS, New","2 năm"
"Chuột Corsair Model 34173",Chuột,Corsair,1360000,,40,"Sản phẩm Chuột Corsair Model 34173 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 5041, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Corsair, New","1 năm"
"Màn hình Samsung Model C16A5","Màn hình",Samsung,4580000,4122000,31,"Sản phẩm Màn hình Samsung Model C16A5 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, Samsung, New","1 năm"
"Màn hình Logitech Model 6364D","Màn hình",Logitech,2230000,2007000,47,"Sản phẩm Màn hình Logitech Model 6364D chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, Logitech, New","1 năm"
"Chuột Intel Model 182BE",Chuột,Intel,1760000,,15,"Sản phẩm Chuột Intel Model 182BE chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 10382, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Intel, New","1 năm"
"Bàn phím ASUS Model E3698","Bàn phím",ASUS,4390000,3951000,47,"Sản phẩm Bàn phím ASUS Model E3698 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, ASUS, New","2 năm"
"Màn hình Corsair Model 1C383","Màn hình",Corsair,2930000,,27,"Sản phẩm Màn hình Corsair Model 1C383 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, Corsair, New","1 năm"
"Màn hình Samsung Model 19CA1","Màn hình",Samsung,4770000,4293000,46,"Sản phẩm Màn hình Samsung Model 19CA1 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 60Hz, Tấm nền: IPS",,,"Màn hình, Samsung, New","2 năm"
"Tai nghe Corsair Model A5BFC","Tai nghe",Corsair,1450000,,40,"Sản phẩm Tai nghe Corsair Model A5BFC chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Corsair, New","3 năm"
"Màn hình MSI Model A5771","Màn hình",MSI,3400000,3060000,8,"Sản phẩm Màn hình MSI Model A5771 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, MSI, New","3 năm"
"Tai nghe NVIDIA Model D67D8","Tai nghe",NVIDIA,1680000,1512000,23,"Sản phẩm Tai nghe NVIDIA Model D67D8 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, NVIDIA, New","1 năm"
"Tai nghe Logitech Model D6459","Tai nghe",Logitech,3680000,3312000,26,"Sản phẩm Tai nghe Logitech Model D6459 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: In-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Logitech, New","1 năm"
"Màn hình NVIDIA Model 3416A","Màn hình",NVIDIA,2200000,1980000,5,"Sản phẩm Màn hình NVIDIA Model 3416A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, NVIDIA, New","1 năm"
"Loa MSI Model A1D0C",Loa,MSI,4770000,4293000,15,"Sản phẩm Loa MSI Model A1D0C chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 72W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, MSI, New","3 năm"
"Loa Gigabyte Model 17E62",Loa,Gigabyte,4750000,,12,"Sản phẩm Loa Gigabyte Model 17E62 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 62W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Gigabyte, New","1 năm"
"Màn hình MSI Model F7177","Màn hình",MSI,2160000,,38,"Sản phẩm Màn hình MSI Model F7177 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, MSI, New","3 năm"
"Bàn phím ASUS Model 6C834","Bàn phím",ASUS,3300000,,24,"Sản phẩm Bàn phím ASUS Model 6C834 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Red Switch, LED: RGB",,,"Bàn phím, ASUS, New","2 năm"
"Màn hình Samsung Model D9D4F","Màn hình",Samsung,1380000,,31,"Sản phẩm Màn hình Samsung Model D9D4F chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 144Hz, Tấm nền: IPS",,,"Màn hình, Samsung, New","2 năm"
"Bàn phím Kingston Model 67C6A","Bàn phím",Kingston,4710000,4239000,26,"Sản phẩm Bàn phím Kingston Model 67C6A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Blue Switch, LED: RGB",,,"Bàn phím, Kingston, New","2 năm"
"Chuột Kingston Model 642E9",Chuột,Kingston,4400000,,6,"Sản phẩm Chuột Kingston Model 642E9 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 9263, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Kingston, New","1 năm"
"Bàn phím ASUS Model F457C","Bàn phím",ASUS,1050000,945000,24,"Sản phẩm Bàn phím ASUS Model F457C chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Blue Switch, LED: RGB",,,"Bàn phím, ASUS, New","1 năm"
"Chuột Kingston Model C0C7C",Chuột,Kingston,1670000,,48,"Sản phẩm Chuột Kingston Model C0C7C chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 2510, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Kingston, New","3 năm"
"Loa Gigabyte Model 28380",Loa,Gigabyte,1450000,,14,"Sản phẩm Loa Gigabyte Model 28380 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 70W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Gigabyte, New","1 năm"
"Màn hình Kingston Model 9A115","Màn hình",Kingston,1960000,,7,"Sản phẩm Màn hình Kingston Model 9A115 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 165Hz, Tấm nền: IPS",,,"Màn hình, Kingston, New","2 năm"
"Màn hình Gigabyte Model D82C8","Màn hình",Gigabyte,1870000,1683000,19,"Sản phẩm Màn hình Gigabyte Model D82C8 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 60Hz, Tấm nền: IPS",,,"Màn hình, Gigabyte, New","1 năm"
"Tai nghe AMD Model A684E","Tai nghe",AMD,2160000,1944000,20,"Sản phẩm Tai nghe AMD Model A684E chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, AMD, New","3 năm"
"Loa Corsair Model B53B3",Loa,Corsair,3710000,3339000,20,"Sản phẩm Loa Corsair Model B53B3 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 22W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Corsair, New","2 năm"
"Loa Logitech Model 9F614",Loa,Logitech,1740000,1566000,14,"Sản phẩm Loa Logitech Model 9F614 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 95W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Logitech, New","2 năm"
"Tai nghe AMD Model 72B32","Tai nghe",AMD,3850000,,43,"Sản phẩm Tai nghe AMD Model 72B32 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: In-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, AMD, New","2 năm"
"Màn hình ASUS Model 66F04","Màn hình",ASUS,2200000,1980000,7,"Sản phẩm Màn hình ASUS Model 66F04 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 24 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, ASUS, New","1 năm"
"Màn hình NVIDIA Model 093F6","Màn hình",NVIDIA,760000,,36,"Sản phẩm Màn hình NVIDIA Model 093F6 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 60Hz, Tấm nền: IPS",,,"Màn hình, NVIDIA, New","1 năm"
"Chuột Samsung Model 072B0",Chuột,Samsung,1790000,1611000,29,"Sản phẩm Chuột Samsung Model 072B0 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 4124, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Samsung, New","3 năm"
"Tai nghe Kingston Model 7F39F","Tai nghe",Kingston,1080000,972000,43,"Sản phẩm Tai nghe Kingston Model 7F39F chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Kingston, New","1 năm"
"Màn hình Intel Model 44F68","Màn hình",Intel,2910000,2619000,40,"Sản phẩm Màn hình Intel Model 44F68 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 32 inch, Tần số quét: 60Hz, Tấm nền: IPS",,,"Màn hình, Intel, New","3 năm"
"Chuột Samsung Model 03AFD",Chuột,Samsung,3220000,2898000,19,"Sản phẩm Chuột Samsung Model 03AFD chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 15828, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Samsung, New","3 năm"
"Bàn phím AMD Model EA5D2","Bàn phím",AMD,3300000,,42,"Sản phẩm Bàn phím AMD Model EA5D2 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, AMD, New","1 năm"
"Màn hình Intel Model FC490","Màn hình",Intel,4010000,3609000,12,"Sản phẩm Màn hình Intel Model FC490 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, Intel, New","3 năm"
"Chuột Corsair Model 3295C",Chuột,Corsair,2820000,2538000,6,"Sản phẩm Chuột Corsair Model 3295C chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 15694, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Corsair, New","2 năm"
"Chuột MSI Model 735B9",Chuột,MSI,2340000,,6,"Sản phẩm Chuột MSI Model 735B9 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 14426, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, MSI, New","1 năm"
"Màn hình Kingston Model A3F39","Màn hình",Kingston,2960000,,44,"Sản phẩm Màn hình Kingston Model A3F39 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 144Hz, Tấm nền: IPS",,,"Màn hình, Kingston, New","2 năm"
"Loa Samsung Model 14BFA",Loa,Samsung,780000,702000,22,"Sản phẩm Loa Samsung Model 14BFA chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 37W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Samsung, New","1 năm"
"Chuột Gigabyte Model 7CBBC",Chuột,Gigabyte,2110000,,23,"Sản phẩm Chuột Gigabyte Model 7CBBC chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 4406, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Gigabyte, New","1 năm"
"Bàn phím AMD Model E2C42","Bàn phím",AMD,1250000,,44,"Sản phẩm Bàn phím AMD Model E2C42 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Blue Switch, LED: RGB",,,"Bàn phím, AMD, New","1 năm"
"Bàn phím Samsung Model 32BB9","Bàn phím",Samsung,700000,630000,35,"Sản phẩm Bàn phím Samsung Model 32BB9 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, Samsung, New","1 năm"
"Chuột MSI Model D2DDE",Chuột,MSI,1280000,1152000,50,"Sản phẩm Chuột MSI Model D2DDE chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 15901, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, MSI, New","1 năm"
"Bàn phím Kingston Model AD61A","Bàn phím",Kingston,1210000,1089000,18,"Sản phẩm Bàn phím Kingston Model AD61A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, Kingston, New","1 năm"
"Loa NVIDIA Model D09BF",Loa,NVIDIA,1530000,1377000,12,"Sản phẩm Loa NVIDIA Model D09BF chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 80W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, NVIDIA, New","1 năm"
"Màn hình AMD Model FBD79","Màn hình",AMD,1020000,,44,"Sản phẩm Màn hình AMD Model FBD79 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 24 inch, Tần số quét: 144Hz, Tấm nền: IPS",,,"Màn hình, AMD, New","3 năm"
"Loa Intel Model 28DD2",Loa,Intel,4130000,,11,"Sản phẩm Loa Intel Model 28DD2 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 12W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Intel, New","3 năm"
"Bàn phím AMD Model 35F4A","Bàn phím",AMD,1910000,,17,"Sản phẩm Bàn phím AMD Model 35F4A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Blue Switch, LED: RGB",,,"Bàn phím, AMD, New","3 năm"
"Màn hình Samsung Model D1FE1","Màn hình",Samsung,920000,,14,"Sản phẩm Màn hình Samsung Model D1FE1 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 24 inch, Tần số quét: 144Hz, Tấm nền: IPS",,,"Màn hình, Samsung, New","3 năm"
"Loa Gigabyte Model F033A",Loa,Gigabyte,1770000,,6,"Sản phẩm Loa Gigabyte Model F033A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 79W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Gigabyte, New","2 năm"
"Loa Logitech Model 43EC5",Loa,Logitech,1050000,,48,"Sản phẩm Loa Logitech Model 43EC5 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 62W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Logitech, New","1 năm"
"Bàn phím NVIDIA Model 9778D","Bàn phím",NVIDIA,1680000,,14,"Sản phẩm Bàn phím NVIDIA Model 9778D chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Red Switch, LED: RGB",,,"Bàn phím, NVIDIA, New","3 năm"
"Bàn phím Gigabyte Model FE9FC","Bàn phím",Gigabyte,1280000,1152000,11,"Sản phẩm Bàn phím Gigabyte Model FE9FC chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Không dây, Loại Switch: Red Switch, LED: RGB",,,"Bàn phím, Gigabyte, New","3 năm"
"Chuột Corsair Model 68D30",Chuột,Corsair,570000,513000,9,"Sản phẩm Chuột Corsair Model 68D30 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 10299, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Corsair, New","3 năm"
"Bàn phím MSI Model 3EF81","Bàn phím",MSI,540000,,30,"Sản phẩm Bàn phím MSI Model 3EF81 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu kết nối: Có dây, Loại Switch: Brown Switch, LED: RGB",,,"Bàn phím, MSI, New","1 năm"
"Tai nghe MSI Model 93DB8","Tai nghe",MSI,1180000,,29,"Sản phẩm Tai nghe MSI Model 93DB8 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, MSI, New","3 năm"
"Loa Intel Model C7E12",Loa,Intel,250000,,14,"Sản phẩm Loa Intel Model C7E12 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 26W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Intel, New","3 năm"
"Loa Samsung Model 2A38A",Loa,Samsung,1650000,1485000,12,"Sản phẩm Loa Samsung Model 2A38A chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 98W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Samsung, New","2 năm"
"Chuột Corsair Model 76479",Chuột,Corsair,990000,891000,25,"Sản phẩm Chuột Corsair Model 76479 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 4011, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Corsair, New","1 năm"
"Tai nghe ASUS Model 86139","Tai nghe",ASUS,2930000,2637000,29,"Sản phẩm Tai nghe ASUS Model 86139 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, ASUS, New","3 năm"
"Chuột Samsung Model 54229",Chuột,Samsung,2770000,2493000,25,"Sản phẩm Chuột Samsung Model 54229 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 14198, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, Samsung, New","1 năm"
